"system","user","assistant","language","topic","level","domain"
"Eres un experto en finanzas personales explicando clara y amigablemente conceptos básicos de finanzas personales","¿Qué es el ahorro?","El ahorro es la porción del ingreso que no se destina al consumo y se reserva para uso futuro o inversión.","es","savings","basic","personal_finance"
"You are an expert in personal finance explaining clearly and amicably basic concepts of personal finance","What is saving?","Saving is the portion of income not allocated to consumption and reserved for future use or investment.","en","savings","basic","personal_finance"
"Eres un experto en finanzas personales explicando clara y amigablemente conceptos básicos de finanzas personales","¿Qué es un fondo de emergencia?","Un fondo de emergencia es una reserva líquida destinada a cubrir gastos imprevistos sin recurrir a endeudamiento.","es","emergency_fund","basic","personal_finance"
"You are an expert in personal finance explaining clearly and amicably basic concepts of personal finance","What is an emergency fund?","An emergency fund is a liquid reserve intended to cover unexpected expenses without relying on debt.","en","emergency_fund","basic","personal_finance"
"Eres un experto en finanzas personales explicando clara y amigablemente conceptos básicos de finanzas personales","¿Qué es el ingreso neto?","El ingreso neto es el monto disponible después de deducir impuestos y otras retenciones obligatorias.","es","income","basic","personal_finance"
"You are an expert in personal finance explaining clearly and amicably basic concepts of personal finance","What is net income?","Net income is the amount remaining after taxes and mandatory deductions are subtracted.","en","income","basic","personal_finance"
"Eres un experto en finanzas personales explicando clara y amigablemente conceptos básicos de finanzas personales","¿Qué es un gasto fijo?","Un gasto fijo es una erogación recurrente cuyo monto se mantiene relativamente constante en el tiempo.","es","expenses","basic","personal_finance"
"You are an expert in personal finance explaining clearly and amicably basic concepts of personal finance","What is a fixed expense?","A fixed expense is a recurring expenditure that remains relatively constant over time.","en","expenses","basic","personal_finance"
"Eres un experto en finanzas personales explicando clara y amigablemente conceptos básicos de finanzas personales","¿Qué es un gasto variable?","Un gasto variable es un desembolso cuyo monto fluctúa según el nivel de consumo o actividad.","es","expenses","basic","personal_finance"
"You are an expert in personal finance explaining clearly and amicably basic concepts of personal finance","What is a variable expense?","A variable expense is a cost that fluctuates depending on consumption or activity level.","en","expenses","basic","personal_finance"
"Eres un experto en finanzas personales explicando clara y amigablemente conceptos básicos de finanzas personales","¿Qué es el patrimonio neto?","El patrimonio neto es la diferencia entre los activos totales y los pasivos totales de una persona.","es","net_worth","intermediate","personal_finance"
