"concept_es","definition_es","variants_es","examples_es","concept_en","definition_en","variants_en","examples_en","topic","level","domain"
"activo financiero","Un activo financiero es un instrumento que representa valor económico y puede generar ingresos.","instrumento financiero;activo monetario","Las acciones son un tipo de activo financiero.","financial asset","A financial asset is an instrument representing economic value that may generate income.","financial instrument;monetary asset","Stocks are a type of financial asset.","investment","intermediate","personal_finance"
"ahorro","El ahorro es la parte del ingreso que no se destina al consumo y se reserva para el futuro.","dinero guardado;reserva de dinero","Ahorrar cada mes mejora la estabilidad financiera.","saving","Saving is the portion of income not used for consumption and reserved for the future.","personal savings;money reserve","Saving regularly improves financial stability.","saving","basic","personal_finance"
"ahorro a corto plazo","El ahorro a corto plazo se destina a metas cercanas en el tiempo.","ahorro inmediato;ahorro cercano","Las vacaciones pueden pagarse con ahorro a corto plazo.","short term savings","Short-term savings are funds reserved for near-term goals.","near-term savings;short horizon savings","Vacations may use short-term savings.","saving","basic","personal_finance"
"ahorro a largo plazo","El ahorro a largo plazo se destina a objetivos financieros futuros.","ahorro prolongado;ahorro futuro","La jubilación requiere ahorro a largo plazo.","long term savings","Long-term savings are funds intended for distant financial goals.","future savings;long horizon savings","Retirement requires long-term savings.","saving","basic","personal_finance"
"ahorro automático","El ahorro automático ocurre cuando el dinero se transfiere automáticamente a una cuenta de ahorro.","ahorro programado;transferencia automática","Algunas cuentas permiten ahorro automático mensual.","automatic saving","Automatic saving occurs when money is transferred automatically into savings.","auto saving;scheduled saving","Some accounts enable automatic saving.","saving","basic","personal_finance"
"ahorro de emergencia","El ahorro de emergencia es dinero reservado para gastos inesperados.","reserva de emergencia;ahorro preventivo","Un fondo de emergencia cubre imprevistos.","emergency savings","Emergency savings are funds reserved for unexpected expenses.","contingency savings;emergency reserve","Emergency savings cover unexpected costs.","saving","basic","personal_finance"
"ahorro programado","El ahorro programado es un plan donde se aparta una cantidad fija en intervalos regulares.","ahorro planificado;ahorro sistemático","El ahorro programado facilita alcanzar metas.","scheduled saving","Scheduled saving is a plan where a fixed amount is set aside at regular intervals.","planned savings;systematic saving","Scheduled saving makes reaching goals easier.","saving","basic","personal_finance"
"aprobación de crédito","La aprobación de crédito es la confirmación de una entidad financiera para otorgar un préstamo.","autorización de crédito;concesión de préstamo","La aprobación de crédito depende del historial.","credit approval","Credit approval is a financial institution's confirmation to grant a loan.","loan approval;credit grant","Credit approval depends on history.","credit","intermediate","banking"
"balance financiero personal","El balance financiero personal resume los activos y pasivos de una persona.","estado financiero personal;balance personal","El balance muestra la situación económica.","personal financial balance","A personal financial balance summarizes a person's assets and liabilities.","personal balance sheet;financial statement","A balance sheet shows financial condition.","budgeting","intermediate","personal_finance"
"banca digital","La banca digital permite realizar operaciones financieras a través de internet.","banca en línea;banca electrónica","Las transferencias pueden hacerse con banca digital.","digital banking","Digital banking allows financial transactions through the internet.","online banking;e-banking","Transfers can be made through digital banking.","banking","basic","personal_finance"
"bienestar financiero","El bienestar financiero es el estado de tener control y seguridad sobre las finanzas personales.","salud financiera;equilibrio financiero","El ahorro y el control de gastos mejoran el bienestar financiero.","financial well-being","Financial well-being is the state of having control and security over personal finances.","financial wellness;economic well-being","Saving and budgeting improve financial well-being.","planning","basic","personal_finance"
"capacidad de ahorro","La capacidad de ahorro es la cantidad de dinero que una persona puede guardar regularmente.","potencial de ahorro;posibilidad de ahorro","Reducir gastos aumenta la capacidad de ahorro.","saving capacity","Saving capacity is the amount of money a person can regularly save.","saving potential;savings ability","Reducing expenses increases saving capacity.","saving","intermediate","personal_finance"
"capital financiero","El capital financiero es dinero disponible para invertir o generar ingresos.","capital monetario;recursos financieros","El capital financiero puede invertirse en activos.","financial capital","Financial capital is money available for investment or income generation.","monetary capital;investment capital","Financial capital may be invested in assets.","investment","intermediate","personal_finance"
